PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2010_SOUTH_CAROLINA,SOUTH_CAROLINA,2010,715590,7755419,1058473,3377539,3319407,8242553,3797945,2445636,389554,1203253,24188,54624,55636,52904,44703,436769,210257,725838,,,,
2010_SOUTH_DAKOTA,SOUTH_DAKOTA,2010,123555,1292742,250554,398601,643587,1281632,660064,382212,57639,146273,1974,11049,9140,9275,9063,74913,38192,126128,,,,
2010_TENNESSEE,TENNESSEE,2010,971414,8405025,1094293,3834174,3476558,8760367,4934044,2516326,467568,627390,28787,76642,75481,71475,67441,596278,285715,987422,,,,
2010_TEXAS,TEXAS,2010,4728815,50559500,7984614,18899565,23675321,53810244,25097921,14179639,2401640,8055742,249122,374195,374111,354314,298400,2963292,1349106,4935715,,,,
2010_UTAH,UTAH,2010,538676,4250259,570301,2171889,1508069,4326951,2117551,1002867,308107,786272,10376,48043,46127,42227,38744,366560,160573,585552,,,,
2010_VERMONT,VERMONT,2010,87750,1749898,173528,1326528,249842,1719870,890606,509650,47578,65751,10678,6259,6291,6757,7114,51052,28869,96858,,,,
2010_VIRGINIA,VIRGINIA,2010,1244673,14937195,1532041,5489710,7915444,14919831,8049137,4654459,565527,1127484,30821,92899,93965,91877,89266,747726,379994,1251440,,,,
2010_WASHINGTON,WASHINGTON,2010,1034735,11919090,1400984,6931430,3586676,11820814,5934710,3402730,503236,1516372,12056,75933,78546,78448,83712,626183,329616,1043788,,,,
2010_WEST_VIRGINIA,WEST_VIRGINIA,2010,281828,3176874,513794,1677745,985335,3484593,1978226,1094980,204402,191662,14660,21256,20493,20455,18430,165556,81407,282879,,,,
2010_WISCONSIN,WISCONSIN,2010,864898,11289720,1115342,4951919,5222459,11116821,5994721,3455651,485711,617744,50200,60721,61015,61337,69858,487558,273807,872286,,,,
2010_WYOMING,WYOMING,2010,87379,1718605,123942,880916,713747,1696177,787627,504838,49289,340678,582,7611,6694,6657,6233,54593,26223,89009,,,,
2012_ALABAMA,ALABAMA,2012,744621,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658,580949,9032,59428,55859,58151,48945,458974,217203,744637,,,,
2012_ALASKA,ALASKA,2012,130771,2383402,352005,1507913,523484,2483320,1255757,947153,82607,145219,3131,10569,9756,9806,9696,79369,38420,131489,,,,
2012_ARIZONA,ARIZONA,2012,942738,7934798,1050228,2845535,4039035,8054662,3917564,2856528,360929,699033,9304,86265,83892,82769,81751,671982,321634,1089384,,,,
2012_ARKANSAS,ARKANSAS,2012,475671,5169926,666267,3823172,680487,5299969,2548056,1683928,277927,612420,14290,40463,36140,36607,30734,292641,138428,486157,,,,
2012_CALIFORNIA,CALIFORNIA,2012,6203034,69016392,8793325,36413273,23809794,70191877,34213049,20393761,3488344,6736656,74360,489274,468007,465967,496754,3763810,1965168,6299451,,,,
2012_COLORADO,COLORADO,2012,843120,8616009,705634,3702427,4207948,8472536,4174705,2751179,353940,697434,30375,66951,65921,62260,62503,520184,246051,863561,,,,
2012_CONNECTICUT,CONNECTICUT,2012,522451,10070907,509564,3735476,5825867,9791336,5485615,2932123,345177,637389,16393,39410,40895,42020,40743,324906,170245,550954,,,,
2012_DELAWARE,DELAWARE,2012,118624,1855867,183793,1090060,582014,1915966,1053066,531313,105134,149584,1291,10128,10089,9716,8365,79585,38022,129026,,,,
2012_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2012,44618,1331006,137742,0,1193264,1189542,594156,266716,44780,283890,11428,6980,4631,4202,3317,39377,17577,76140,,,,
2012_FLORIDA,FLORIDA,2012,2658559,24139266,3068321,8702317,12368628,25352047,13558844,7607362,1622628,1837264,55124,210489,195358,204116,183193,1626947,799602,2692162,,,,
2012_GEORGIA,GEORGIA,2012,1669156,17559894,1862297,7455147,8242450,17400209,9611118,5043644,917885,1566020,45252,136837,128538,128432,101078,1040200,481043,1703332,,,,
2012_HAWAII,HAWAII,2012,182706,2535038,318728,2161254,55056,2344733,1262938,814511,143188,124096,1509,17497,14572,12791,10721,114462,51069,184760,,,,
2012_IDAHO,IDAHO,2012,267556,1981482,266087,1238989,476406,1911706,1073312,609786,102831,69239,2683,22409,21884,21670,19130,177111,82631,284834,,,,
2012_ILLINOIS,ILLINOIS,2012,2071481,29900021,2430413,10142137,17327471,29067543,14896596,9358604,956171,2032447,81475,147315,151409,152505,146273,1219411,624679,2072880,,,,
2012_INDIANA,INDIANA,2012,1006627,12395432,1096902,7462594,3835936,11351906,5659432,3670372,521782,894450,9114,80681,75678,79908,74886,635245,316329,1041369,,,,
2012_IOWA,IOWA,2012,495870,6262807,512246,2681035,3069526,6256926,3072424,1688512,242935,900591,27729,41381,35492,35694,36254,285931,144784,499825,,,,
2012_KANSAS,KANSAS,2012,485591,5613619,410051,3173205,2030363,5615714,2935226,1569972,235158,662722,18475,38379,36167,35447,32810,288797,137855,489043,,,,
2012_KENTUCKY,KENTUCKY,2012,681827,7192430,983232,3920971,2288227,7444529,3697663,2320305,448906,764062,26753,53875,50583,50259,44032,410084,193961,685167,,,,
2012_LOUISIANA,LOUISIANA,2012,665478,8477993,1527734,3588546,3361713,8504567,4365583,2793437,433580,777379,29426,58691,57434,52507,40179,436675,186111,710903,,,,
2012_MAINE,MAINE,2012,187247,2611056,239982,1012326,1358748,2625759,1376755,887596,108121,131394,4890,13727,13345,14127,14462,109307,57815,185739,,,,
2012_MARYLAND,MARYLAND,2012,853778,13752912,859635,5980541,6912736,13212140,7140620,4161605,336683,1139120,29671,66896,63703,60908,59978,506235,256836,859638,,,,
2012_MASSACHUSETTS,MASSACHUSETTS,2012,922683,15763456,979175,6200945,8583336,15696061,8801567,4642633,467588,1159931,28245,69669,70952,72048,67856,568277,287506,954773,,,,
2012_MICHIGAN,MICHIGAN,2012,1421312,18622316,1866406,9796808,6959102,18063824,9070480,5802009,862829,1200582,36769,107986,112068,117640,118564,914737,492272,1555370,,,,
2012_MINNESOTA,MINNESOTA,2012,799736,10681609,740098,6642440,3299071,10696348,5672620,2555775,826218,1034162,14695,65745,62523,62335,70510,502923,262041,845404,,,,
2012_MISSISSIPPI,MISSISSIPPI,2012,490619,4477828,795110,2195720,1486998,4423270,2291333,1449935,281636,329375,4026,43208,36663,36745,29676,304011,133809,493650,,,,
2012_MISSOURI,MISSOURI,2012,893221,10022622,994192,4115324,4913106,9910617,5056789,2994397,553027,891474,29684,71778,67493,68057,64151,546068,270370,917900,,,,
2012_MONTANA,MONTANA,2012,142237,1628318,214164,761029,653125,1652537,888206,536815,73808,117001,1321,11709,10861,10895,9784,87789,42089,142908,,,,
2012_NEBRASKA,NEBRASKA,2012,300941,3764056,366016,1166374,2231666,3880517,2247992,984922,165408,374671,13831,22095,22583,21438,23152,179506,88073,303505,,,,
2012_NEVADA,NEVADA,2012,428526,4053945,403548,2401035,1249362,4109706,2049362,1336995,159943,321145,4599,35008,33462,34192,31939,273430,131953,445707,,,,
2012_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2012,190778,2963221,187243,1029325,1746653,2961684,1654634,868513,78190,160056,3260,11892,13907,14784,14600,113017,60805,188974,,,,
2012_NEW_JERSEY,NEW_JERSEY,2012,1330300,27574528,1371038,10401941,15801549,26432652,14491817,8921990,943029,940577,35128,94830,98152,100052,97048,788168,400875,1372203,,,,
2012_NEW_MEXICO,NEW_MEXICO,2012,328690,3478709,491732,2380982,605995,3616691,1688871,1097238,142740,615427,7509,27662,25474,25177,20559,205807,97242,338220,,,,
2012_NEW_YORK,NEW_YORK,2012,2644029,58981073,3769627,23314292,31897154,60216421,38431932,14662331,1490478,4094920,48712,202670,198361,200642,192112,1601541,825972,2710703,,,,
2012_NORTH_CAROLINA,NORTH_CAROLINA,2012,1462172,12788659,1831015,7648102,3309542,13418244,7521325,3817233,716796,728580,30329,121389,116264,115147,94648,928372,438375,1518465,,,,
2012_NORTH_DAKOTA,NORTH_DAKOTA,2012,97555,1345371,160050,658255,527066,1380563,685786,368323,93834,160904,1848,8578,7380,7500,7347,60569,30116,101111,,,,
2012_OHIO,OHIO,2012,1630865,22799205,2007733,9336277,11455195,22662376,10861218,7524489,924456,2416140,27558,131874,129295,133955,117623,1051867,518617,1729916,,,,
2012_OKLAHOMA,OKLAHOMA,2012,664200,5824963,773014,2869071,2182878,5594867,2736786,1898922,385999,496119,42154,55115,49274,47856,39407,397470,176812,673483,,,,
2012_OREGON,OREGON,2012,566525,6124872,550894,3038052,2535926,6314092,3250376,2057965,228474,448562,23850,42642,42401,43578,46723,342833,178239,587564,,,,
2012_PENNSYLVANIA,PENNSYLVANIA,2012,1644759,27881568,2145208,9561500,16174860,27851918,13450420,7682906,1170594,1735626,10109,129624,131315,136775,136357,1063403,557464,1763677,,,,
2012_RHODE_ISLAND,RHODE_ISLAND,2012,137400,2208278,204682,779000,1224596,2190431,1272285,727287,95213,33633,2068,10786,10831,9971,10509,84955,44672,142481,,,,
2012_SOUTH_CAROLINA,SOUTH_CAROLINA,2012,715744,7889771,848254,3586738,3454779,7948441,3749691,2489094,408649,869025,23786,58641,54058,55365,44755,444923,208648,735998,,,,
2012_SOUTH_DAKOTA,SOUTH_DAKOTA,2012,127726,1298723,212615,395054,691054,1296971,649023,379791,63166,172398,3117,11901,9657,9408,8816,78186,37267,130471,,,,
2012_TENNESSEE,TENNESSEE,2012,998638,8983224,1257953,4017946,3707325,9256522,5151260,2693334,514174,671532,27096,81186,74425,74459,66299,603243,281971,993496,,,,
2012_TEXAS,TEXAS,2012,4844744,49979753,6140296,19801928,24037529,50215314,23902458,13954303,2497013,5538370,250911,390636,378750,366857,305425,3048599,1387513,5077659,,,,
2012_UTAH,UTAH,2012,553873,4217360,426702,2158049,1632609,4330417,2161779,1052249,334499,666528,12329,50378,48362,45387,40774,381495,169077,613279,,,,
2012_VERMONT,VERMONT,2012,87968,1754161,124451,1372320,257390,1726321,904254,518561,54031,45788,5705,6273,6133,6541,6756,50089,27557,89624,,,,
2012_VIRGINIA,VIRGINIA,2012,1257332,14940479,1365551,5564504,8010424,15129464,8123166,4744530,611769,1078796,32852,96935,94005,93787,88971,759657,375975,1265419,,,,
2012_WASHINGTON,WASHINGTON,2012,1044856,11955582,1057045,7001110,3897427,12187889,5866729,3735795,524816,1552074,12466,80789,78244,79272,84981,631305,327134,1051694,,,,
2012_WEST_VIRGINIA,WEST_VIRGINIA,2012,282088,3970941,432223,2014017,1524701,3536971,1893954,1155259,220973,245082,15781,21785,20181,20521,18703,164805,80673,283044,,,,
2012_WISCONSIN,WISCONSIN,2012,863314,11139967,907311,4786356,5446300,10724377,5631108,3525882,491104,449246,55008,62422,60670,61857,67130,489324,265682,872436,,,,
2012_WYOMING,WYOMING,2012,89994,1664983,144728,851896,668359,1670728,845801,540510,53299,213245,540,8131,7127,6874,6046,56619,26243,91533,,,,
2014_ALABAMA,ALABAMA,2014,740081,7357267,794090,4031547,2531630,7587737,3824295,2390530,587642,580934,11076,57939,55479,57471,49929,454081,221068,744164,,,,
2014_ALASKA,ALASKA,2014,130539,2663647,309525,1824373,529749,2727056,1346457,982843,86314,269107,3074,10559,9812,9653,9671,79112,38431,131176,,,,
2014_ARIZONA,ARIZONA,2014,943937,8361708,1102980,3182285,4076443,8109460,3902565,2858103,461316,678228,8839,83241,85535,84596,84913,687823,331552,1111695,,,,
2014_ARKANSAS,ARKANSAS,2014,479881,5193218,552738,4006889,633591,5242672,2609867,1753929,282078,424314,14834,38503,35922,36788,32428,295622,141653,490917,,,,
2014_CALIFORNIA,CALIFORNIA,2014,6224685,72389126,7415061,38410554,26563511,72506810,35539425,21594573,3581789,6124103,76641,511985,475192,467038,496901,3767745,1949755,6312161,,,,
2014_COLORADO,COLORADO,2014,865231,9162406,681230,3961719,4519457,9286626,4470568,3002964,373620,932776,31663,66068,66809,65116,63001,536632,254643,889006,,,,
2014_CONNECTICUT,CONNECTICUT,2014,511082,10743919,420593,4141590,6181736,10201500,5889381,3128453,343615,447290,17987,37654,39699,41165,40018,319247,167790,542678,,,,
2014_DELAWARE,DELAWARE,2014,120623,1954374,133055,1137764,683555,1988535,1050647,582448,103583,171618,1520,10205,10278,10035,8688,82971,39346,134042,,,,
2014_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2014,44942,1342220,134959,0,1207261,1313289,503349,375966,34409,399565,12049,7273,5264,4525,3421,43084,17634,80958,,,,
2014_FLORIDA,FLORIDA,2014,2708022,26077462,3112027,10460928,12504507,26523658,14542370,7948773,1788820,1468023,58613,204552,202424,210397,189545,1670530,823249,2756944,,,,
2014_GEORGIA,GEORGIA,2014,1699185,17821620,1804212,7837335,8180073,17668352,9635641,5197804,967343,1642099,46150,133616,131377,133128,106405,1063066,501605,1744437,,,,
2014_HAWAII,HAWAII,2014,186825,2696766,286988,2354601,55177,2504144,1386369,798677,145898,173200,1489,11661,15221,12587,10644,117974,50925,182384,,,,
2014_IDAHO,IDAHO,2014,281452,2084970,232593,1319582,532795,2012852,1108768,650395,109175,91323,2597,21509,22799,22407,19879,181354,85232,290885,,,,
2014_ILLINOIS,ILLINOIS,2014,2060632,31085621,2301827,11163462,17620332,31080869,16323537,10012961,975999,1999969,79349,139729,149399,153054,147588,1209886,621275,2050239,,,,
2014_INDIANA,INDIANA,2014,1007121,12399402,933891,7632238,3833273,11136045,5513142,3641179,526178,889924,16206,78861,75552,82669,74952,633508,316465,1046269,,,,
2014_IOWA,IOWA,2014,501763,6455928,455586,3247115,2753227,6541553,3266694,1853835,259833,801317,28884,39923,36072,35827,36091,290642,145862,505311,,,,
2014_KANSAS,KANSAS,2014,496034,5813985,419415,3265012,2129558,5957954,3033016,1657449,246811,813093,19104,37524,36435,36140,32731,294230,140324,497275,,,,
2014_KENTUCKY,KENTUCKY,2014,686789,7229857,825742,3966872,2437243,7346219,3659917,2345545,454067,620745,27345,51876,50300,51246,43862,412196,196733,688640,,,,
2014_LOUISIANA,LOUISIANA,2014,665441,8352703,1272004,3455315,3625384,8140649,4026042,2731011,409510,706668,28200,56119,54030,52835,40610,437690,194791,716800,,,,
2014_MAINE,MAINE,2014,178709,2675648,182961,1032280,1460407,2550302,1369822,886844,109348,66571,5038,13274,13488,13805,13777,107797,56361,182470,,,,
2014_MARYLAND,MARYLAND,2014,865768,13982544,816033,6186736,6979775,13712839,7475952,4303895,367048,1131199,30385,66200,65382,61747,58624,523857,254072,874514,,,,
2014_MASSACHUSETTS,MASSACHUSETTS,2014,920558,16609204,791029,6587492,9230683,16518383,9407351,4969348,488065,1028761,28375,67670,69922,72190,68038,569677,288934,955844,,,,
2014_MICHIGAN,MICHIGAN,2014,1363533,18457253,1563397,10073758,6820098,17358365,8858564,5735894,831071,856907,44607,105582,110135,116804,116032,898924,484956,1537922,,,,
2014_MINNESOTA,MINNESOTA,2014,804580,11168633,630445,7603409,2934779,11300786,5986788,2803239,880403,1069928,14977,64454,63781,63805,69615,514730,263074,857235,,,,
2014_MISSISSIPPI,MISSISSIPPI,2014,492421,4480105,664697,2243098,1572310,4463078,2279076,1521319,287150,316494,4409,40543,36620,36791,28980,303333,134857,490917,,,,
2014_MISSOURI,MISSOURI,2014,892992,10256615,895743,4267069,5093803,10324249,5243167,3183894,577580,919482,31153,68753,68210,67879,63388,548958,268921,917785,,,,
2014_MONTANA,MONTANA,2014,144034,1729712,201528,822788,705396,1754324,949120,570780,77193,121753,1229,11682,11044,10807,9825,89805,41816,144532,,,,
2014_NEBRASKA,NEBRASKA,2014,307398,4005091,318179,1283012,2403900,4008633,2371149,1059275,175887,307828,15253,23951,22921,22374,23051,183467,89964,312635,,,,
2014_NEVADA,NEVADA,2014,435765,4203255,381596,2651854,1169805,4043820,2104452,1413964,170754,161354,5230,33942,34993,35318,31892,284442,134640,459189,,,,
2014_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2014,184846,3042994,161989,1003995,1877010,2960615,1682021,913353,75750,87603,3639,11580,13590,14423,13856,110626,58807,184670,,,,
2014_NEW_JERSEY,NEW_JERSEY,2014,1335350,28454548,1142878,11047025,16264645,27742203,14956606,9205196,1273398,895858,55106,92560,97428,99751,95666,792613,401874,1400579,,,,
2014_NEW_MEXICO,NEW_MEXICO,2014,326637,3601387,466320,2505492,629575,3576216,1709599,1088329,147184,562323,8004,26660,25641,25272,21147,206441,99260,340365,,,,
2014_NEW_YORK,NEW_YORK,2014,2619312,61337112,3347393,24830862,33158857,62556193,40168920,15381372,1515933,4060304,57353,200507,197545,200384,190387,1607983,827493,2741185,,,,
2014_NORTH_CAROLINA,NORTH_CAROLINA,2014,1441391,13462754,1529624,7849343,4083787,13540706,7573296,4015292,747335,609013,31550,119730,115539,119636,97257,941088,454963,1548895,,,,
2014_NORTH_DAKOTA,NORTH_DAKOTA,2014,103272,1568997,155894,901032,512071,1597210,758669,422005,100586,239992,2063,9031,7995,7652,7471,65071,30421,106586,,,,
2014_OHIO,OHIO,2014,1601566,23297509,1692769,9492461,12112279,21847582,11350255,7111920,898844,1546152,31135,129013,125215,134275,115962,1044724,519938,1724810,,,,
2014_OKLAHOMA,OKLAHOMA,2014,670069,6034336,690122,2983860,2360354,6026661,2833650,2033459,404999,687788,42218,55134,47577,48487,40729,405206,184170,688511,,,,
2014_OREGON,OREGON,2014,566538,6621363,521463,3393147,2706753,6453635,3437466,2151154,242975,311077,30461,41645,42942,43521,47566,349455,179757,601318,,,,
2014_PENNSYLVANIA,PENNSYLVANIA,2014,1605292,29068069,1812609,10272392,16983068,28620630,15352999,7889064,1163079,1566997,8106,127398,129927,135683,131694,1058258,549398,1743160,,,,
2014_RHODE_ISLAND,RHODE_ISLAND,2014,135084,2313010,186551,867512,1258947,2258076,1277445,782773,92710,37897,2369,9885,10720,10899,10578,86813,42892,141959,,,,
2014_SOUTH_CAROLINA,SOUTH_CAROLINA,2014,729386,8417698,812536,3902923,3702239,8452743,4035914,2747427,430577,862750,24274,58282,55741,57025,45619,457244,216723,756523,,,,
2014_SOUTH_DAKOTA,SOUTH_DAKOTA,2014,130653,1345549,186216,413544,745789,1355439,696235,413254,68154,146035,2787,11768,10366,9441,8674,81184,37301,133040,,,,
2014_TENNESSEE,TENNESSEE,2014,992583,9237782,1095377,4315952,3826453,9432883,5296570,2805578,536241,549104,25912,74960,75248,74883,66972,606195,288408,995475,,,,
2014_TEXAS,TEXAS,2014,4949469,52776853,5643178,20510815,26622860,53096761,25364709,14803918,2682490,5766846,241826,390552,390570,388428,314039,3150946,1450441,5233765,,,,
2014_UTAH,UTAH,2014,570423,4405929,385210,2363055,1657664,4385896,2336613,1139969,302794,490911,13142,48841,49173,46969,42163,394684,178910,635577,,,,
2014_VERMONT,VERMONT,2014,87990,1895044,102434,1495453,297157,1876197,955495,553032,59714,56780,5984,5768,6211,6268,6417,49221,26338,87311,,,,
2014_VIRGINIA,VIRGINIA,2014,1273211,15347862,1009659,5994897,8343306,15690444,8464947,4964725,619387,1041633,32839,93758,95200,95558,88256,771091,382598,1280381,,,,
2014_WASHINGTON,WASHINGTON,2014,1057773,13040197,1030232,7833024,4176941,12806300,6267816,4035948,549588,1525815,12663,81212,79721,80391,87206,646445,333318,1073638,,,,
2014_WEST_VIRGINIA,WEST_VIRGINIA,2014,280265,3514889,351957,2033948,1128984,3499873,1823665,1147776,222824,286099,15253,20860,20196,20501,18239,163654,80543,280310,,,,
2014_WISCONSIN,WISCONSIN,2014,865119,11330253,830568,5709579,4790106,11255186,5685955,3616770,498431,767074,55831,60424,60795,62034,65954,490627,264550,871432,,,,
2014_WYOMING,WYOMING,2014,92732,1772633,112709,965213,694711,1775999,865932,555761,50715,287977,564,7997,7438,6927,6133,58774,26732,94067,,,,
